experiment,forcepoint,force,sg2,sg3,sg4,sg5,sg6,sg7,sg8,sg9,sg10,sg11,sg12
1,B,800,67,68,-21,66,-16,58,27,2,-4,24,-3
1,B,1600,134,137,-36,132,-32,115,56,4,-9,50,-8
1,B,2400,199,201,-54,197,-48,168,83,7,-16,75,-14
1,B,3200,264,263,-72,260,-61,221,112,15,-21,102,-19
1,B,4000,333,327,-88,330,-74,272,139,20,-27,128,-24
2,B,800,70,72,-18,70,-14,59,26,0,-8,21,-6
2,B,1600,134,137,-35,134,-30,115,57,6,-12,49,-11
2,B,2400,200,202,-50,201,-42,169,87,13,-18,77,-17
2,B,3200,267,264,-67,265,-57,221,114,17,-25,102,-24
2,B,4000,334,327,-83,330,-72,273,142,21,-32,126,-32
3,A,800,58,-46,-8,43,-1,-57,36,128,-3,30,-8
3,A,1600,115,-93,-17,82,-6,-111,74,257,-4,70,-12
3,A,2400,173,-138,-29,121,-12,-170,105,379,-16,103,-25
3,A,3200,232,-179,-41,163,-18,-222,140,499,-25,144,-32
3,A,4000,288,-218,-54,203,-27,-269,177,617,-34,184,-42
4,A,800,62,-47,-3,43,-3,-54,41,137,8,37,-1
4,A,1600,121,-91,-11,85,-3,-111,74,257,-2,70,-8
4,A,2400,181,-133,-25,125,-4,-171,102,369,-22,101,-19
4,A,3200,239,-172,-37,165,-11,-223,134,482,-37,137,-31
4,A,4000,296,-208,-49,206,-17,-267,172,601,-44,179,-40
5,C,800,58,25,-15,57,-15,15,34,55,-3,27,-6
5,C,1600,104,73,-23,105,-21,64,81,101,-12,71,-16
5,C,2400,152,121,-31,152,-25,110,126,145,-22,114,-28
5,C,3200,200,170,-43,200,-36,158,170,186,-31,156,-38
5,C,4000,247,220,-54,248,-45,205,214,227,-42,198,-50
6,C,800,49,56,-13,52,-9,54,46,38,-8,39,-11
6,C,1600,97,104,-24,100,-17,101,91,81,-16,80,-21
6,C,2400,146,153,-33,149,-27,149,134,121,-25,121,-32
6,C,3200,194,203,-42,197,-36,198,179,162,-31,164,-42
6,C,4000,241,252,-53,245,-44,247,225,205,-39,208,-52
